closed_id,size,contains_x,contains_y,block_count,shadow_count,rank,num_minimum_generating_sets,first_minimum_generators,elements
0,0,False,False,0,0,0,1,,
1,1,False,False,1,1,1,1,1,1
2,1,False,False,1,1,1,1,2,2
3,1,False,False,1,1,1,1,6,6
4,1,False,False,1,1,1,1,7,7
5,1,False,False,1,1,1,1,12,12
6,1,False,False,1,1,1,1,16,16
7,1,False,False,1,1,1,1,17,17
8,1,False,False,1,1,1,1,18,18
9,1,True,False,1,1,1,1,22,22
10,1,False,False,1,1,1,1,23,23
11,1,False,False,1,1,1,1,28,28
12,1,False,False,1,1,1,1,32,32
13,1,False,False,1,1,1,1,33,33
14,1,False,False,1,1,1,1,34,34
15,1,False,False,1,1,1,1,38,38
16,1,False,True,1,1,1,1,39,39
17,1,False,False,1,1,1,1,44,44
18,1,False,False,1,1,1,1,48,48
19,1,False,False,1,1,1,1,81,81
20,1,False,False,1,1,1,1,82,82
21,1,False,False,1,1,1,1,86,86
22,1,False,False,1,1,1,1,87,87
23,1,False,False,1,1,1,1,92,92
24,1,False,False,1,1,1,1,96,96
25,2,False,False,1,2,2,1,1 2,1 2
26,2,False,False,1,2,1,1,3,1 3
27,2,False,False,1,2,1,1,4,1 4
28,2,False,False,1,2,2,1,1 6,1 6
29,2,False,False,1,2,2,1,2 6,2 6
30,2,False,False,1,2,2,1,1 7,1 7
31,2,False,False,1,2,2,1,2 7,2 7
32,2,False,False,1,2,2,1,6 7,6 7
33,2,False,False,1,2,1,1,9,1 9
34,2,False,False,1,2,1,1,10,7 10
35,2,False,False,1,2,1,1,11,6 11
36,2,False,False,1,2,2,1,1 12,1 12
37,2,False,False,1,2,2,1,2 12,2 12
38,2,False,False,1,2,2,1,6 12,6 12
39,2,False,False,1,2,2,1,7 12,7 12
40,2,False,False,1,2,2,1,1 16,1 16
41,2,False,False,1,2,2,1,2 16,2 16
42,2,False,False,1,2,2,1,6 16,6 16
43,2,False,False,1,2,2,1,7 16,7 16
44,2,False,False,1,2,1,1,8,8 16
45,2,False,False,1,2,2,1,12 16,12 16
46,2,False,False,1,2,1,1,13,13 16
47,2,False,False,1,2,1,1,14,14 16
48,2,False,False,2,1,2,1,1 17,1 17
49,2,False,False,2,1,2,1,2 18,2 18
50,2,False,False,1,2,2,1,17 18,17 18
51,2,False,False,1,2,1,1,19,17 19
52,2,False,False,1,2,1,1,20,17 20
53,2,True,False,2,2,2,1,1 22,1 22
54,2,True,False,2,1,2,1,6 22,6 22
55,2,True,False,2,2,2,1,16 22,16 22
56,2,True,False,1,2,2,1,17 22,17 22
57,2,True,False,1,2,2,1,18 22,18 22
58,2,False,False,2,1,2,1,7 23,7 23
59,2,False,False,1,2,2,1,17 23,17 23
60,2,False,False,1,2,2,1,18 23,18 23
61,2,True,False,1,2,2,1,22 23,22 23
62,2,False,False,1,2,1,1,25,17 25
63,2,False,False,1,2,1,1,26,23 26
64,2,True,False,1,2,1,1,27,22 27
65,2,False,False,2,1,2,1,12 28,12 28
66,2,False,False,1,2,2,1,17 28,17 28
67,2,False,False,1,2,2,1,18 28,18 28
68,2,True,False,1,2,2,1,22 28,22 28
69,2,False,False,1,2,2,1,23 28,23 28
70,2,False,False,2,1,2,1,16 32,16 32
71,2,False,False,1,2,2,1,17 32,17 32
72,2,False,False,1,2,2,1,18 32,18 32
73,2,True,False,1,2,2,1,22 32,22 32
74,2,False,False,1,2,2,1,23 32,23 32
75,2,False,False,1,2,1,1,24,24 32
76,2,False,False,1,2,2,1,28 32,28 32
77,2,False,False,1,2,1,1,29,29 32
78,2,False,False,1,2,1,1,30,30 32
79,2,False,False,2,1,2,1,1 33,1 33
80,2,False,False,2,1,2,1,17 33,17 33
81,2,False,False,2,1,2,1,2 34,2 34
82,2,False,False,2,1,2,1,18 34,18 34
83,2,False,False,1,2,2,1,33 34,33 34
84,2,False,False,1,2,1,1,35,33 35
85,2,False,False,1,2,1,1,36,33 36
86,2,False,False,2,1,2,1,6 38,6 38
87,2,True,False,2,1,2,1,22 38,22 38
88,2,False,False,1,2,2,1,33 38,33 38
89,2,False,False,1,2,2,1,34 38,34 38
90,2,False,True,2,2,2,1,1 39,1 39
91,2,False,True,2,1,2,1,7 39,7 39
92,2,False,True,2,2,2,1,16 39,16 39
93,2,True,True,2,2,2,1,22 39,22 39
94,2,False,True,2,1,2,1,23 39,23 39
95,2,False,True,1,2,2,1,33 39,33 39
96,2,False,True,1,2,2,1,34 39,34 39
97,2,False,True,1,2,2,1,38 39,38 39
98,2,False,False,1,2,1,1,41,33 41
99,2,False,True,1,2,1,1,42,39 42
100,2,False,False,1,2,1,1,43,38 43
101,2,False,False,2,1,2,1,12 44,12 44
102,2,False,False,2,1,2,1,28 44,28 44
103,2,False,False,1,2,2,1,33 44,33 44
104,2,False,False,1,2,2,1,34 44,34 44
105,2,False,False,1,2,2,1,38 44,38 44
106,2,False,True,1,2,2,1,39 44,39 44
107,2,False,False,2,1,2,1,16 48,16 48
108,2,False,False,2,1,2,1,32 48,32 48
109,2,False,False,1,2,2,1,33 48,33 48
110,2,False,False,1,2,2,1,34 48,34 48
111,2,False,False,1,2,2,1,38 48,38 48
112,2,False,True,1,2,2,1,39 48,39 48
113,2,False,False,1,2,1,1,40,40 48
114,2,False,False,1,2,2,1,44 48,44 48
115,2,False,False,1,2,1,1,45,45 48
116,2,False,False,1,2,1,1,46,46 48
117,2,False,False,2,1,1,1,49,33 49
118,2,False,False,2,1,1,1,50,34 50
119,2,False,False,2,1,1,1,54,38 54
120,2,False,True,2,1,1,1,55,39 55
121,2,False,True,2,2,1,1,58,39 58
122,2,False,False,2,1,1,1,60,44 60
123,2,False,False,2,1,1,1,64,48 64
124,2,False,False,2,1,1,1,65,17 65
125,2,False,False,2,1,1,1,66,18 66
126,2,True,False,2,1,1,1,70,22 70
127,2,False,False,2,1,1,1,71,23 71
128,2,True,False,2,2,1,1,75,22 75
129,2,False,False,2,1,1,1,76,28 76
130,2,False,False,2,1,1,1,80,32 80
131,2,False,False,2,1,2,1,1 81,1 81
132,2,False,False,2,2,2,1,16 81,16 81
133,2,False,False,2,1,2,1,17 81,17 81
134,2,True,False,2,2,2,1,22 81,22 81
135,2,False,False,2,1,2,1,33 81,33 81
136,2,False,True,2,2,2,1,39 81,39 81
137,2,False,False,2,1,2,1,2 82,2 82
138,2,False,False,2,1,2,1,18 82,18 82
139,2,False,False,2,1,2,1,34 82,34 82
140,2,False,False,1,2,2,1,81 82,81 82
141,2,False,False,1,2,1,1,83,81 83
142,2,False,False,1,2,1,1,84,81 84
143,2,False,False,2,1,2,1,6 86,6 86
144,2,True,False,2,1,2,1,22 86,22 86
145,2,False,False,2,1,2,1,38 86,38 86
146,2,False,False,1,2,2,1,81 86,81 86
147,2,False,False,1,2,2,1,82 86,82 86
148,2,False,False,2,1,2,1,7 87,7 87
149,2,False,False,2,1,2,1,23 87,23 87
150,2,False,True,2,1,2,1,39 87,39 87
151,2,False,False,1,2,2,1,81 87,81 87
152,2,False,False,1,2,2,1,82 87,82 87
153,2,False,False,1,2,2,1,86 87,86 87
154,2,False,False,1,2,1,1,89,81 89
155,2,False,False,1,2,1,1,90,87 90
156,2,False,False,1,2,1,1,91,86 91
157,2,False,False,2,1,2,1,12 92,12 92
158,2,False,False,2,1,2,1,28 92,28 92
159,2,False,False,2,1,2,1,44 92,44 92
160,2,False,False,1,2,2,1,81 92,81 92
161,2,False,False,1,2,2,1,82 92,82 92
162,2,False,False,1,2,2,1,86 92,86 92
163,2,False,False,1,2,2,1,87 92,87 92
164,2,False,False,2,2,2,1,1 96,1 96
165,2,False,False,2,1,2,1,16 96,16 96
166,2,True,False,2,2,2,1,22 96,22 96
167,2,False,False,2,1,2,1,32 96,32 96
168,2,False,True,2,2,2,1,39 96,39 96
169,2,False,False,2,1,2,1,48 96,48 96
170,2,False,False,1,2,2,1,81 96,81 96
171,2,False,False,1,2,2,1,82 96,82 96
172,2,False,False,1,2,2,1,86 96,86 96
173,2,False,False,1,2,2,1,87 96,87 96
174,2,False,False,1,2,1,1,88,88 96
175,2,False,False,1,2,2,1,92 96,92 96
176,2,False,False,1,2,1,1,93,93 96
177,2,False,False,1,2,1,1,94,94 96
178,3,False,False,1,3,2,1,2 3,1 2 3
179,3,False,False,1,3,2,1,2 4,1 2 4
180,3,False,False,1,3,2,1,3 4,1 3 4
181,3,False,False,1,3,3,1,1 2 6,1 2 6
182,3,False,False,1,3,2,1,4 6,1 4 6
183,3,False,False,1,3,3,1,1 2 7,1 2 7
184,3,False,False,1,3,2,1,3 7,1 3 7
185,3,False,False,1,3,3,1,1 6 7,1 6 7
186,3,False,False,1,3,3,1,2 6 7,2 6 7
187,3,False,False,1,3,3,1,1 2 12,1 2 12
188,3,False,False,1,3,3,1,1 6 12,1 6 12
189,3,False,False,1,3,3,1,2 6 12,2 6 12
190,3,False,False,1,3,3,1,1 7 12,1 7 12
191,3,False,False,1,3,3,1,2 7 12,2 7 12
192,3,False,False,1,3,3,1,6 7 12,6 7 12
193,3,False,False,1,3,3,1,1 2 16,1 2 16
194,3,False,False,1,3,3,1,1 6 16,1 6 16
195,3,False,False,1,3,3,1,2 6 16,2 6 16
196,3,False,False,1,3,3,1,1 7 16,1 7 16
197,3,False,False,1,3,3,1,2 7 16,2 7 16
198,3,False,False,1,3,3,1,6 7 16,6 7 16
199,3,False,False,1,3,3,1,1 12 16,1 12 16
200,3,False,False,1,3,3,1,2 12 16,2 12 16
201,3,False,False,1,3,3,1,6 12 16,6 12 16
202,3,False,False,1,3,3,1,7 12 16,7 12 16
203,3,False,False,1,3,2,1,7 13,7 13 16
204,3,False,False,1,3,2,1,12 13,12 13 16
205,3,False,False,1,3,2,1,6 14,6 14 16
206,3,False,False,1,3,2,1,12 14,12 14 16
