obstruction_id,source_closed_id,type,size,contains_x,contains_y,block_count,shadow_count,elements
M1,21743,block,64,True,True,4,16,17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80
M2,21744,block,64,True,True,4,16,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
M3,21745,block,64,False,True,4,16,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59 60 61 62 63 64 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
M4,21746,block,64,True,False,4,16,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 65 66 67 68 69 70 71 72 73 74 75 76 77 78 79 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
M5,21728,shadow,48,True,True,6,8,1 2 3 4 6 7 9 12 17 18 19 20 22 23 25 28 33 34 35 36 38 39 41 44 49 50 51 52 54 55 57 60 65 66 67 68 70 71 73 76 81 82 83 84 86 87 89 92
M6,21729,shadow,48,True,True,6,8,1 6 7 8 9 10 11 16 17 22 23 24 25 26 27 32 33 38 39 40 41 42 43 48 49 54 55 56 57 58 59 64 65 70 71 72 73 74 75 80 81 86 87 88 89 90 91 96
M7,21730,shadow,48,True,False,6,8,1 4 5 6 11 12 13 16 17 20 21 22 27 28 29 32 33 36 37 38 43 44 45 48 49 52 53 54 59 60 61 64 65 68 69 70 75 76 77 80 81 84 85 86 91 92 93 96
M8,21731,shadow,48,False,True,6,8,1 3 5 7 10 12 14 16 17 19 21 23 26 28 30 32 33 35 37 39 42 44 46 48 49 51 53 55 58 60 62 64 65 67 69 71 74 76 78 80 81 83 85 87 90 92 94 96
M9,21732,shadow,48,False,False,6,8,1 3 4 8 9 13 14 16 17 19 20 24 25 29 30 32 33 35 36 40 41 45 46 48 49 51 52 56 57 61 62 64 65 67 68 72 73 77 78 80 81 83 84 88 89 93 94 96
M10,21733,shadow,48,True,True,6,8,2 6 7 8 12 13 14 16 18 22 23 24 28 29 30 32 34 38 39 40 44 45 46 48 50 54 55 56 60 61 62 64 66 70 71 72 76 77 78 80 82 86 87 88 92 93 94 96
M11,21734,shadow,48,False,False,6,8,1 2 5 8 9 12 15 16 17 18 21 24 25 28 31 32 33 34 37 40 41 44 47 48 49 50 53 56 57 60 63 64 65 66 69 72 73 76 79 80 81 82 85 88 89 92 95 96
M12,21735,shadow,48,False,True,6,8,1 2 4 7 10 13 15 16 17 18 20 23 26 29 31 32 33 34 36 39 42 45 47 48 49 50 52 55 58 61 63 64 65 66 68 71 74 77 79 80 81 82 84 87 90 93 95 96
M13,21736,shadow,48,True,False,6,8,1 2 3 6 11 14 15 16 17 18 19 22 27 30 31 32 33 34 35 38 43 46 47 48 49 50 51 54 59 62 63 64 65 66 67 70 75 78 79 80 81 82 83 86 91 94 95 96
M14,21740,synchronization,48,True,True,6,16,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 22 33 34 36 39 49 50 52 55 65 66 67 70 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
M15,21741,synchronization,48,True,True,6,16,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 22 27 32 33 39 42 48 49 55 58 64 65 70 75 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
M16,21742,synchronization,48,True,True,6,16,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 22 28 29 32 39 44 46 48 55 60 62 64 70 76 77 80 81 82 83 84 85 86 87 88 89 90 91 92 93 94 95 96
M17,21501,shadow,36,True,True,6,6,1 2 6 7 12 16 17 18 22 23 28 32 33 34 38 39 44 48 49 50 54 55 60 64 65 66 70 71 76 80 81 82 86 87 92 96
